VC Name,VC Location,Snippet,Short Description,Crunchbase URL,Investment 3 Funding Round Type,Investment 3 Round Type,Investment 3 Company Invested Into,Investment 3 Announcement Date,Investment 3 Value,Investment 3 Type,Investment 2 Funding Round Type,Investment 2 Round Type,Investment 2 Company Invested Into,Investment 2 Announcement Date,Investment 2 Value,Investment 2 Type,Investment 1 Funding Round Type,Investment 1 Round Type,Investment 1 Company Invested into,Investment 1 Announcement Date,Investment 1 Value,Investment 1 Type,Full Description,Normalize a Domain,Growth Score,Clearbit Logo URL
Silicon Alley Venture Partners,New York,Silicon Alley Venture Partners (SAVP) was originally founded in 1998 to focus on early growth investing in Technology Enabled and Business.,Silicon Alley Venture Partners - Crunchbase,https://www.crunchbase.com/organization/silicon-alley-venture-partners,Seed Round - Rewind Me,funding_round,Rewind Me,2012-06-14,Silicon Alley Venture Partners investment in Seed Round - Rewind Me,investment,Series B - YouNow,funding_round,YouNow,2015-09-05,Silicon Alley Venture Partners investment in Series B - YouNow,investment,Venture Round - Managed Systems,funding_round,Managed Systems,2015-11-07,Silicon Alley Venture Partners investment in Venture Round - Managed Systems,investment,"Silicon Alley Venture Partners (""SAVP"") was originally founded in 1998 to focus on early growth investing in Technology Enabled and Business Information Services (TES/BIS) companies primarily located in the greater Tri-State Area from eastern Pennsylvania to northern Connecticut.

TES/BIS is the next logical step in the maturation of the information technology industry. As opposed to creating entirely new technology, TES/BIS companies leverage existing technology to solve business problems or create substantially improved efficiencies.

Additionally, the Tri-State region is the headquarters to over 30% of the Fortune 500 and has a strong focus on some of the largest industries including financial services, media, publishing, information services, retail and pharmaceuticals. The region is a rich environment for entrepreneurs to offer technology enabled services and business information services to these industries. In fact, we find that many of the entrepreneurs we back have deep domain expertise in one or more of these areas.",savp.com,11,https://logo.clearbit.com/savp.com
Baltimore Angels,Baltimore,Early stage technology investment. A new generation of angel investing lives in Baltimore. Our investors are current and cashed-out.,Baltimore Angels - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/baltimore-angels,Seed Round - Pinkaloo Technologies,funding_round,Pinkaloo Technologies,2018-08-22,Baltimore Angels investment in Seed Round - Pinkaloo Technologies,investment,Seed Round - BurnAlong,funding_round,BurnAlong,2019-03-21,Baltimore Angels investment in Seed Round - BurnAlong,investment,Seed Round - IFundWomen,funding_round,IFundWomen,2019-03-31,Baltimore Angels investment in Seed Round - IFundWomen,investment,"Early stage technology investment.

A new generation of angel investing lives in Baltimore. Our investors are current and cashed-out entrepreneurs who have “done it” and can help other entrepreneurs advance to the next stage. Our investments are strategic, and not passive.

We’re looking for early stage technology based companies, run by entrepreneurs with a strong vision, and who are typically just beyond a friends-and-family round. We meet monthly in Baltimore, and welcome interested investors and entrepreneurs in the Baltimore/Washington area.",baltimoreangels.com,4,https://logo.clearbit.com/baltimoreangels.com
Eugene M. Lang Entrepreneurial Initiative Fund,New York,"Eugene M. Lang Entrepreneurial Initiative Fund focuses on seed and early-stage investments in education, food and beverage, and manufacturing industries.",Eugene M. Lang Entrepreneurial Initiative Fund - Crunchbase,https://www.crunchbase.com/organization/columbia-university-lang-fund,Seed Round - JOCO,funding_round,JOCO,2021-05-01,Eugene M. Lang Entrepreneurial Initiative Fund investment in Seed Round - JOCO,investment,Pre Seed Round - AVEC,funding_round,AVEC,2021-10-14,Eugene M. Lang Entrepreneurial Initiative Fund investment in Pre Seed Round - AVEC,investment,Grant - WEAROPAL,funding_round,WEAROPAL,2022-08-12,Eugene M. Lang Entrepreneurial Initiative Fund investment in Grant - WEAROPAL,investment,The Lang Fund provides early stage investing opportunities to qualifying student business initiatives.,business.columbia.edu/lang/student-and-alumni-programming/launch/lang-fund,8,https://logo.clearbit.com/columbia.edu
Benaroya Capital,Bellevue,"Benaroya Capital is a full-service real estate company that acquires, develops, and manages properties in prime Pacific Northwest locations.",Benaroya Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/benaroya-capital,Venture Round - Cozi,funding_round,Cozi,2013-01-31,Benaroya Capital investment in Venture Round - Cozi,investment,Venture Round - Zoomingo,funding_round,Zoomingo,2013-11-05,Benaroya Capital investment in Venture Round - Zoomingo,investment,Seed Round - extraSlice,funding_round,extraSlice,2017-11-02,Benaroya Capital investment in Seed Round - extraSlice,investment,"Benaroya Capital is a full-service real estate company that acquires, develops, and manages properties in prime Pacific Northwest locations.",benaroya.com,20,https://logo.clearbit.com/benaroya.com
North East Development Capital Fund,Newcastle Upon Tyne,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom · 101-250; Venture Capital; www.mavencp.com/sme-finance/north-east-developm.",North East Development Capital Fund - Crunchbase,https://www.crunchbase.com/organization/north-east-development-capital-fund,Venture Round - Pockit,funding_round,Pockit,2023-08-03,North East Development Capital Fund investment in Venture Round - Pockit,investment,Venture Round - iPac Packaging Innovations,funding_round,iPac Packaging Innovations,2024-02-12,North East Development Capital Fund investment in Venture Round - iPac Packaging Innovations,investment,Venture Round - Power Roll,funding_round,Power Roll,2024-10-14,North East Development Capital Fund investment in Venture Round - Power Roll,investment,North East Development Capital Fund Is an Investment Fund,mavencp.com/sme-finance/north-east-development-capital-fund,28,https://logo.clearbit.com/mavencp.com
The Games Fund,Los Angeles,"TGF is an early-stage VC fund founded by video games industry veterans. We invest in future leaders: game developers, gaming technologies, and services.",The Games Fund - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/the-games-fund,Seed Round - Drama Studios,funding_round,Drama Studios,2024-09-12,The Games Fund investment in Seed Round - Drama Studios,investment,Seed Round - Playgama,funding_round,Playgama,2024-12-03,The Games Fund investment in Seed Round - Playgama,investment,Seed Round - Dark Passenger,funding_round,Dark Passenger,2024-12-16,The Games Fund investment in Seed Round - Dark Passenger,investment,"TGF is an early-stage VC fund founded by video games industry veterans. 
We invest in future leaders: game developers, gaming technologies, and services. 
We share best practices and offer our experience and personal touch.",gamesfund.vc,49,https://logo.clearbit.com/gamesfund.vc
SmartGateVC,Los Angeles,"SmartGateVC is a SoCal & Armenia based pre-seed / seed VC investing in frontiers unleashed by AI (BCI, Physical, Life Sciences)",SmartGateVC - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/smartgatevc,Pre Seed Round - Vonova,funding_round,Vonova,2024-08-20,SmartGateVC investment in Pre Seed Round - Vonova,investment,Pre Seed Round - Ritual Dental,funding_round,Ritual Dental,2024-10-29,SmartGateVC investment in Pre Seed Round - Ritual Dental,investment,Pre Seed Round - ThirdLaw Molecular,funding_round,ThirdLaw Molecular,2025-02-13,SmartGateVC investment in Pre Seed Round - ThirdLaw Molecular,investment,"SmartGateVC is a SoCal and Armenia based VC with a focus on pre-seed investments in AI. Deep Origin (a pioneer in quantum-accurate drug discovery), SuperAnnotate (NVIDIA-backed leading AI data platform) are among our investments (33 portfolio companies since 2018). NVIDIA, Databricks, Sierra Ventures, AI Fund, YC, and others are among our follow-on investors. We invest out of our Fund II and our investors include Tim Draper, One Way Ventures, and other high-profile GPs, entrepreneurs, and professionals.",smartgate.vc,45,https://logo.clearbit.com/smartgate.vc
Oui Capital,Belmont,Oui Capital is an Early Stage Venture Capital for the African Continent. Oui Capital was formed out of the imbalance that exists between high-growth technology ...,Oui Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/oui-capital,Seed Round - Spurt!,funding_round,Spurt!,2024-01-01,Oui Capital investment in Seed Round - Spurt!,investment,Seed Round - Maad,funding_round,Maad,2024-05-13,Oui Capital investment in Seed Round - Maad,investment,Seed Round - Cauridor,funding_round,Cauridor,2025-01-29,Oui Capital investment in Seed Round - Cauridor,investment,Oui Capital is an Early Stage Venture Capital For The African Continent. Oui Capital was formed out of the imbalance that exists between high-growth technology startups in sub-Saharan Africa and the smart capital available to take advantage of these opportunities.,ouicapital.vc,85,https://logo.clearbit.com/ouicapital.vc
Naples Technology Ventures,Naples,"Naples Technology Ventures is a venture capital firm focused on investing in early-stage technology and services companies. Naples, Florida, United States ...",Naples Technology Ventures - Crunchbase,https://www.crunchbase.com/organization/naples-ventures,,,,,,,,,,,,,,,,,,,,,31,
Quantum Energy Partners,Houston,Quantum Energy Partners is a provider of private capital to the responsibly sourced energy and energy transition & decarbonization sectors.,Quantum Energy Partners - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/quantum-energy-partners,Series B - Orennia,funding_round,Orennia,2023-07-11,Quantum Energy Partners investment in Series B - Orennia,investment,Series B - Heirloom,funding_round,Heirloom,2024-12-04,Quantum Energy Partners investment in Series B - Heirloom,investment,Series C - BeZero Carbon,funding_round,BeZero Carbon,2025-01-16,Quantum Energy Partners investment in Series C - BeZero Carbon,investment,"Quantum works with entrepreneurs to build companies that provide the sustainable energy the modern world needs. Through hands-on support from our team of cross-disciplinary experts, we help our partners enhance operational performance and accelerate progress so they can win in the fast-evolving Sustainable Energy Ecosystem.

Solving the world’s biggest energy challenges will require new ways of thinking. Quantum’s deep experience investing across the entire Sustainable Energy Ecosystem sets us apart. We invest strategically to help ensure a sustainable energy future using private equity, credit & structured capital, and venture capital to keep advancing today’s energy for tomorrow’s world.",quantumep.com,56,https://logo.clearbit.com/quantumep.com
Outsiders Fund,New York,"Outsiders Fund invests in early-stage companies in the software, IT, and AI sectors, focusing on locations like Los Angeles, San Francisco, and New York in ...",Outsiders Fund - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/outsiders-fund,Seed Round - Cercle,funding_round,Cercle,2024-09-18,Outsiders Fund investment in Seed Round - Cercle,investment,Series A - Gradial,funding_round,Gradial,2025-03-17,Outsiders Fund investment in Series A - Gradial,investment,Pre Seed Round - Flight Science,funding_round,Flight Science,2025-03-25,Outsiders Fund investment in Pre Seed Round - Flight Science,investment,"An early-stage venture capital firm focused on identifying opportunities where technology will disrupt traditional, incumbent industries. It seeks founders with atypical backgrounds and out of the box thinking.",outsidersfund.com,88,https://logo.clearbit.com/outsidersfund.com
Wisdom Ventures,San Francisco,"Wisdom Ventures is seed venture fund in San Francisco, investing globally in compassion and wellness start-ups; leveraging a partner team with extensive ...",Wisdom Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/wisdom-ventures,Seed Round - ShareWell,funding_round,ShareWell,2024-04-30,Wisdom Ventures investment in Seed Round - ShareWell,investment,Venture Round - Light,funding_round,Light,2024-06-30,Wisdom Ventures investment in Venture Round - Light,investment,Series A - Seven Starling,funding_round,Seven Starling,2024-07-16,Wisdom Ventures investment in Series A - Seven Starling,investment,"Wisdom Ventures is seed venture fund in San Francisco, investing globally in compassion and wellness start-ups;  leveraging a partner team with extensive networks and proven track record as investors, experts and leaders.",wisdomventuresfund.com,43,https://logo.clearbit.com/wisdomventuresfund.com
Dispersion Capital,San Francisco,"Dispersion Capital focuses on seed to early-stage investments in blockchain, Web3, and AI industries, primarily in San Francisco, Los Angeles, and Palo Alto ...",Dispersion Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/dispersion-capital,Series A - Superlogic,funding_round,Superlogic,2025-02-06,Dispersion Capital investment in Series A - Superlogic,investment,Pre Seed Round - Ammo,funding_round,Ammo,2025-02-10,Dispersion Capital investment in Pre Seed Round - Ammo,investment,Seed Round - Primus Labs,funding_round,Primus Labs,2025-02-20,Dispersion Capital investment in Seed Round - Primus Labs,investment,Dispersion Capital is an early-stage fund focusing on web3 at the pre-seed and seed stages.,dispersion.xyz,92,https://logo.clearbit.com/dispersion.xyz
R42 Group,Stanford,"R42 Group invests in seed to early-stage companies in biotechnology, healthcare, and AI sectors, focusing on the United Kingdom, particularly in London, ...",R42 Group - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/r42-group,Pre Seed Round - xWatts,funding_round,xWatts,2024-07-18,R42 Group investment in Pre Seed Round - xWatts,investment,Series C - Healx,funding_round,Healx,2024-08-01,R42 Group investment in Series C - Healx,investment,Series A - Abselion,funding_round,Abselion,2024-12-04,R42 Group investment in Series A - Abselion,investment,R42 Group actively invents and finances deep science ventures. R42 Group will work from the pre-seed inventing stage through to the growth stage.,r42group.com,47,https://logo.clearbit.com/r42group.com
Predictive,New York,"Predictive VC invests in early-stage FinTech, financial services, and IT companies, focusing on the US, particularly in San Francisco, New York, and Austin.",Predictive - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/predictive-vc,Pre Seed Round - Reasoner,funding_round,Reasoner,2023-06-27,Predictive investment in Pre Seed Round - Reasoner,investment,Seed Round - HIFI,funding_round,HIFI,2024-12-10,Predictive investment in Seed Round - HIFI,investment,Seed Round - Spur,funding_round,Spur,2025-04-17,Predictive investment in Seed Round - Spur,investment,PREDICTIVE is an early stage venture capital firm investing into category-defining companies with proprietary and scalable data moats. We invest primarily across the US and Latin America.,predictivevc.com,71,https://logo.clearbit.com/predictivevc.com
NewBound Venture Capital,Minneapolis,"NewBound VC operates as a consumer-centric venture capital firm focused on investing in Seed and Series A rounds. Minneapolis, Minnesota, United States ...",NewBound Venture Capital - Crunchbase,https://www.crunchbase.com/organization/excelsior-financial-partners,,,,,,,,,,,,,,,,,,,,,63,
Cleo Capital,San Francisco,"Cleo Capital is a venture capital company that focuses on making investments in early-stage and expanding start-up businesses. San Francisco, California, United ...",Cleo Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/cleo-capital,Series A - Virridy,funding_round,Virridy,2022-06-08,Cleo Capital investment in Series A - Virridy,investment,Seed Round - First,funding_round,First,2024-10-24,Cleo Capital investment in Seed Round - First,investment,Seed Round - Plug,funding_round,Plug,2025-04-08,Cleo Capital investment in Seed Round - Plug,investment,Cleo Capital is a venture capital company. The company focuses on making investments in early-stage and expanding start-up businesses.,cleocap.com,33,https://logo.clearbit.com/cleocap.com
Interlace Ventures,San Francisco,"Interlace Ventures is an early stage fund investing in founders reimagining commerce. San Francisco, California, United States",Interlace Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/interlace-ventures,Seed Round - Oyster,funding_round,Oyster,2022-12-13,Interlace Ventures investment in Seed Round - Oyster,investment,Series A - StayTuned,funding_round,StayTuned,2023-05-09,Interlace Ventures investment in Series A - StayTuned,investment,Seed Round - Drip Labs,funding_round,Drip Labs,2023-08-27,Interlace Ventures investment in Seed Round - Drip Labs,investment,Interlace Ventures is an early stage fund investing in founders reimagining commerce. We invest at pre-seed and seed.,interlacevc.com,30,https://logo.clearbit.com/interlacevc.com
40 North Ventures,Campbell,40 North Ventures is a venture capital fund that invests in high-potential startups that are working to construct the industrial future.,North Forty Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/north-forty-ventures,,,,,,,Series A - Epicrop Technologies,funding_round,Epicrop Technologies,2017-03-06,North Forty Ventures investment in Series A - Epicrop Technologies,investment,Pre Seed Round - OpenField,funding_round,OpenField,2019-06-20,North Forty Ventures investment in Pre Seed Round - OpenField,investment,"40 North Ventures is a venture capital fund that invests in high-potential startups that are working to construct the industrial future.

It was founded in 2019 and is based in Campbell, California.",,17,
Trifecta Capital,San Francisco,Trifecta Capital is a top Silicon Valley based seed fund. We seek to be the best possible partner for founders with the spirited curiosity to be suspicious ...,Trifecta Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/trifecta-capital,Secondary Market - Fibe,funding_round,Fibe,2024-06-05,Trifecta Capital investment in Secondary Market - Fibe,investment,Series A - Zyod,funding_round,Zyod,2024-06-24,Trifecta Capital investment in Series A - Zyod,investment,Debt Financing - Udaan,funding_round,Udaan,2024-10-28,Trifecta Capital investment in Debt Financing - Udaan,investment,"Trifecta Capital is a top Silicon Valley based seed fund. We seek to be the best possible partner for founders with the spirited curiosity to be suspicious of convention and the imagination and willpower to build and nurture a meaningful and lasting business. We are industry agnostic and look to support companies starting at seed stage but continue our support until IPO. 

Current portfolio companies include Equipment Share, Second Spectrum, Upkeep, Human Interest and others.",trifectafund.com,72,https://logo.clearbit.com/trifectafund.com
Braidwell,Stamford,"Braidwell invests in early to late-stage biotechnology and healthcare companies, focusing on biopharma. Their investment strategy is concentrated in North ...",Braidwell - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/braidwell,,,,,,,,,,,,,,,,,,,,,90,
Space.VC,Austin,"Space.VC invests in seed to early-stage companies within the aerospace, manufacturing, and space travel industries, focusing on the United States, ...",Space.VC - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/space-vc,Venture Round - Karman Industries,funding_round,Karman Industries,2025-01-08,Space.VC investment in Venture Round - Karman Industries,investment,Series C - True Anomaly,funding_round,True Anomaly,2025-04-30,Space.VC investment in Series C - True Anomaly,investment,Series A - Space Forge,funding_round,Space Forge,2025-05-14,Space.VC investment in Series A - Space Forge,investment,Investing in world-class Space Tech founders and startups at pre-seed to Series A stage primarily.,spacevc.co,54,https://logo.clearbit.com/spacevc.co
MiLA Capital (Make in LA),Los Angeles,"MiLA Capital is a venture capital firm investing in seed-stage to advance next-generation hardware startups. Los Angeles, California, United States · 1-10 ...",MiLA Capital (Make in LA) - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/make-in-la,,,,,,,,,,,,,,,,,,,,,6,
B37 Ventures,San Francisco,"B37 Ventures is a VC firm with a proprietary platform in which startups and multinational corporations exchange innovation and scale. San Francisco, California, ...",B37 Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/bridge-37-ventures,Series D - Outrider,funding_round,Outrider,2024-10-24,B37 Ventures investment in Series D - Outrider,investment,Seed Round - Biosphere,funding_round,Biosphere,2025-01-09,B37 Ventures investment in Seed Round - Biosphere,investment,Series B - Tessell,funding_round,Tessell,2025-04-09,B37 Ventures investment in Series B - Tessell,investment,"B37 Ventures is a venture capital firm that derives returns from a proprietary platform in which startups and multinational corporations exchange innovation and scale. The firm is able to validate product-market fit and curate scalability through the global reach of our industry-diverse corporate investors.

B37 Ventures is headquartered in San Francisco, California.",b37.vc,71,https://logo.clearbit.com/b37.vc
Krillion Ventures,Miami,"Krillion Ventures is a venture capital firm investing in seed-stage technology companies in health and wellness, real estate, and finance. Miami, Florida, ...",Krillion Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/krillion-ventures,Series A - Breezeway,funding_round,Breezeway,2020-08-04,Krillion Ventures investment in Series A - Breezeway,investment,Series A - Heru,funding_round,Heru,2021-05-20,Krillion Ventures investment in Series A - Heru,investment,Series B - Kashable,funding_round,Kashable,2024-01-18,Krillion Ventures investment in Series B - Kashable,investment,"Krillion Ventures is a Miami-based venture capital fund that primarily invests in seed-stage technology companies innovating in health and wellness, real estate and finance. Select investments include WheelsUp, HomeLight, Nearpod, EquipmentShare, and Kashable. The fund was founded in 2014 by Melissa Krinzman and Jeffrey Miller.",krillionventures.com,11,https://logo.clearbit.com/krillionventures.com
SALT Fund,New York,"SALT Fund is an investment fund affiliated with the SALT event & media company. New York, New York, United States 1-10 Venture Capital Early Stage Venture, Seed",SALT Fund - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/salt-fund,Seed Round - Shuttle Labs,funding_round,Shuttle Labs,2024-10-23,SALT Fund investment in Seed Round - Shuttle Labs,investment,Pre Seed Round - Manifest,funding_round,Manifest,2025-03-20,SALT Fund investment in Pre Seed Round - Manifest,investment,Series A - Avantis Labs,funding_round,Avantis Labs,2025-06-03,SALT Fund investment in Series A - Avantis Labs,investment,SALT Fund is an investment fund.,salt.org,86,https://logo.clearbit.com/salt.org
Republic Crypto,New York,"Republic Crypto offers a compliant and inclusive blockchain financing and investment platform for investors seeking high growth potential. New York, New York, ...",Republic Crypto - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/republic-crypto,,,,,,,,,,,,,,,,,,,,,86,
GRA Venture Fund,Atlanta,"The GRA Venture Fund, LLC is a private investment fund helping to finance promising companies emerging from Georgia's universities. The Fund makes seed, ...",GRA Venture Fund - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/gra-venture-fund-llc,Seed Round - BioCircuit Technologies,funding_round,BioCircuit Technologies,2022-09-27,GRA Venture Fund investment in Seed Round - BioCircuit Technologies,investment,Series A - Micron Biomedical,funding_round,Micron Biomedical,2022-11-25,GRA Venture Fund investment in Series A - Micron Biomedical,investment,Series A - Lucid Scientific,funding_round,Lucid Scientific,2023-09-05,GRA Venture Fund investment in Series A - Lucid Scientific,investment,"The GRA Venture Fund, LLC is a private investment fund helping to finance promising companies emerging from Georgia's universities. The Fund makes seed, early-stage, and mid-stage investments in companies originating from GRA Ventures, the commercialization arm of the Georgia Research Alliance. Fund investors are the State of Georgia, private individuals, corporations and foundations.",graventurefund.com,2,https://logo.clearbit.com/graventurefund.com
Crush Ventures,Los Angeles,"Crush Ventures is an early-stage venture firm that focuses on investing in companies at the intersection of media, culture, and commerce.",Crush Ventures - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/crush-ventures,,,,,,,,,,,,,,,,,,,,,50,
Phenomen,London,Phenomen is a mid - late stage venture capital investment firm focused on internet and tech phenomenons.,Phenomen - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/phenomen-ventures-fund,,,,,,,,,,,,,,,,,,,,,4,
Subversive Capital,New York,"Subversive Capital specializes in investing in disruptive companies that require regulatory advisement. New York, New York, United States · 1-10; Venture ...",Subversive Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/subversive-capital,Series A - AEXLAB,funding_round,AEXLAB,2022-02-15,Subversive Capital investment in Series A - AEXLAB,investment,Series C - Synchron,funding_round,Synchron,2022-12-15,Subversive Capital investment in Series C - Synchron,investment,Seed Round - Betty,funding_round,Betty,2023-02-14,Subversive Capital investment in Seed Round - Betty,investment,"Subversive Capital is dedicated to investing in radical companies whose core missions subvert
the status quo and require sophisticated government and regulatory strategies for success.",subversive.com,80,https://logo.clearbit.com/subversive.com
Leonis Capital,San Francisco,"Leonis Capital focus on seeding intelligent economy companies that are powered by AI and Web3 protocols. San Francisco, California, United States · 1-10 ...",Leonis Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/leonis-capital,Seed Round - Spline,funding_round,Spline,2023-07-13,Leonis Capital investment in Seed Round - Spline,investment,Seed Round - Redcoat AI,funding_round,Redcoat AI,2024-03-14,Leonis Capital investment in Seed Round - Redcoat AI,investment,Seed Round - Unify,funding_round,Unify,2024-05-22,Leonis Capital investment in Seed Round - Unify,investment,Leonis Capital focus on seeding intelligent economy companies that are powered by AI and Web3 protocols.,leoniscap.com,22,https://logo.clearbit.com/leoniscap.com
The New Normal Fund,San Francisco,"The New Normal Fund is collaborating with B2B AI companies to expand to IPO and beyond. San Francisco, California, United States",The New Normal Fund - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/the-new-normal-fund,Venture Round - XBuild,funding_round,XBuild,2024-02-28,The New Normal Fund investment in Venture Round - XBuild,investment,Series B - Unstructured Technologies,funding_round,Unstructured Technologies,2024-03-14,The New Normal Fund investment in Series B - Unstructured Technologies,investment,Series A - Tennr,funding_round,Tennr,2024-03-26,The New Normal Fund investment in Series A - Tennr,investment,The New Normal Fund is collaborating with B2B AI companies to expand to IPO and beyond.,allisonpickens.com,45,https://logo.clearbit.com/allisonpickens.com
Enhanced Capital Partners,New York,"Enhanced Capital Partners is an investment firm that specializes in investments in small and mid-size companies. New York, New York, United States ...",Enhanced Capital Partners - Crunchbase,https://www.crunchbase.com/organization/enhanced-capital-partners,Post-IPO Equity - Crossroads Impact Corp,funding_round,Crossroads Impact Corp,2022-07-11,Enhanced Capital Partners investment in Post-IPO Equity - Crossroads Impact Corp,investment,Debt Financing - iCleanse,funding_round,iCleanse,2022-10-10,Enhanced Capital Partners investment in Debt Financing - iCleanse,investment,Debt Financing - iCleanse,funding_round,iCleanse,2023-10-06,Enhanced Capital Partners investment in Debt Financing - iCleanse,investment,"Founded in 1999, Enhanced Capital Partners is a national investment firm with over $400 million under management specializing in investments in small and mid-size companies.

Enhanced Capital provides a range of investment options to promote the growth and expansion of businesses. Our flexibility and practical investment approach can make the difference in maximizing the growth potential of a company poised for rapid growth.",enhancedcapital.com,87,https://logo.clearbit.com/enhancedcapital.com
All Blue Capital,New York,"B's Partners currently work across several offices including London, New York, UAE, Singapore, Shanghai and Toronto. Read More ...",All Blue Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/all-blue-capital,Series F - Robinhood,funding_round,Robinhood,2020-05-04,All Blue Capital investment in Series F - Robinhood,investment,Debt Financing - AEye,funding_round,AEye,2020-11-09,All Blue Capital investment in Debt Financing - AEye,investment,Series D - Public,funding_round,Public,2021-02-15,All Blue Capital investment in Series D - Public,investment,"All Blue Capital they manage multiple alternative asset classes, including private equity, real estate and blockchain, and through their strategic partners, hedge funds. Leveraging the strength of the team's global presence and network they are able to provide differentiated investment themes across asset classes, industries, and geographies.

The Group’s focus on its core values of entrepreneurialism, innovation, and institutionalization has led to a history of delivering excellent risk-adjusted returns.

B's Partners currently work across several offices including London, New York, UAE, Singapore, Shanghai and Toronto.",allbluecapital.com,5,https://logo.clearbit.com/allbluecapital.com
Brainstorm Ventures,San Francisco,"Brainstorm Ventures is an early-stage venture capital firm that invests in disruptive technology companies. San Francisco, California, United States · 1-10 ...",Brainstorm Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/brainstorm-ventures,Seed Round - Bedrock Materials,funding_round,Bedrock Materials,2024-05-16,Brainstorm Ventures investment in Seed Round - Bedrock Materials,investment,Seed Round - Terrain Bio,funding_round,Terrain Bio,2025-02-12,Brainstorm Ventures investment in Seed Round - Terrain Bio,investment,Series A - Cafler,funding_round,Cafler,2025-02-24,Brainstorm Ventures investment in Series A - Cafler,investment,"Brainstorm Ventures was founded in 1999 with a mission to fund emerging technology companies and actively assist them in their development. Past portfolio companies include OpenTable (IPO), Zappos (acquired by Amazon), Me.com (acquired by Apple) and Mexico's first unicorn, KIO Networks. Brainstorm began actively investing from its second seed and early stage venture capital fund in 2018.  Most of Brainstorm's investments are in Silicon Valley and in Mexico; however, Brainstorm Ventures also targets a select number of opportunities across the United States and Latin America.",brainstorm.vc,64,https://logo.clearbit.com/brainstorm.vc
Velos Partners,Los Angeles,"Velos Partners is a consumer growth capital firm investing in retail innovation, health & wellness, and luxury & entertainment. Los Angeles, California, United ...",Velos Partners - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/velos-partners,Seed Round - Subsy,funding_round,Subsy,2018-03-31,Velos Partners investment in Seed Round - Subsy,investment,Series A - Twenty20,funding_round,Twenty20,2018-06-18,Velos Partners investment in Series A - Twenty20,investment,Seed Round - Airsupply,funding_round,Airsupply,2018-09-16,Velos Partners investment in Seed Round - Airsupply,investment,"Velos Partners invests in companies at the intersection of consumer and technology, where the exponential pace of innovation is transforming traditional consumer behavior and business models.",velospartners.com,2,https://logo.clearbit.com/velospartners.com
PNC Mezzanine Capital,Pittsburgh,"PNC Mezzanine Capital is providing subordinated debt and junior capital. Pittsburgh, Pennsylvania, United States 11-50 Private Equity Firm, Venture Debt",PNC Mezzanine Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/pnc-mezzanine-capital,Venture Round - Thaler Machine Company,funding_round,Thaler Machine Company,2020-03-01,PNC Mezzanine Capital investment in Venture Round - Thaler Machine Company,investment,Venture Round - ESAM,funding_round,ESAM,2021-04-01,PNC Mezzanine Capital investment in Venture Round - ESAM,investment,Venture Round - Mellott Company,funding_round,Mellott Company,2021-09-01,PNC Mezzanine Capital investment in Venture Round - Mellott Company,investment,PNC Mezzanine Capital is providing subordinated debt and junior capital.,pncmezzanine.com,7,https://logo.clearbit.com/pncmezzanine.com
